"PERMITNO"|"FCLTUIN"|"FCLNAME"|"FCLTYAD"|"FCLTCIT"|"FCLTCTC"|"FCLSTCD"|"FCLZIPC"|"FCLGLAT"|"FCLGLON"|"IMPCAT"
"TX0104531"|"110000821898"|"CHANNEL SHIPYARD COMPANY WWTP"|"999 S LYNCHBURG RD"|"BAYTOWN"|"1380966"|"TX"|"77562"|29.768056|-95.067222|"4"
"TX0104540"|"110009774262"|"WEATHERFORD FARMS"|"E SIDE OF MURPHY RD APPROX 1.4"|"STAFFORD"|"1347777"|"TX"|"77477"|29.631944|-95.5625|""
"TX0104558"|"110009774271"|"CITY OF GODLEY WWTF"|"600' S INTX STHWY 171 & FM 930"|"GODLEY"|"1336634"|"TX"|"76044"|32.433056|-97.516667|""
"TX0104612"|"110009747523"|"PROGRESO WWTF"|"2.5M NE FMR 1015 & US HWY 281"|"PROGRESO"|"1388197"|"TX"|"78579"|26.290556|-97.938611|""
"TX0104621"|"110005184326"|"GULF WEST FACILITY"|"2601 SOUTH JENKINS RD"|"ANAHUAC"|"1383821"|"TX"|"77514"|29.795833|-94.529167|""
"TX0104710"|"110002134244"|"ALLOY POLYMERS ORANGE"|"6522 IH-10 W"|"ORANGE"|"1375304"|"TX"|"77632"|30.113333|-93.805278|"4"
"TX0104752"|"110009747532"|"CITY OF GRAFORD WWTP"|"1500 NW OF INTX FM 4 ST HWY SPR 397"|"PALO PINTO"|"1336782"|"TX"|"76484"|32.086667|-98.264167|""
"TX0104761"|"110010131099"|"WOODRIDGE LP WWTP"|"1600' SE INTX FM 134 & STHWY"|"KILGORE"|"1383887"|"TX"|"75642"|32.665833|-94.179444|""
"TX0104779"|"110039195947"|"CITY OF PADUCAH"|"S HWY 70 AND US HWY 83 COTTLE C"|"PADUCAH"|"1364686"|"TX"|""|34.0125|-100.291389|""
"TX0104795"|"110010921832"|"WEST HOUSTON MHP WWTP"|"14115 FM 529 1.5MI SE INTX ST HWY 6"|"HOUSTON"|"1380948"|"TX"|"77074"|29.875|-95.624722|""
"TX0104833"|"110009747541"|"RIDGE UTILITIES WWTF"|"1700FT NE INTER OF HOOD CO RD"|"GRANBURY"|"1336797"|"TX"|"76048"|32.387222|-97.715|""
"TX0104841"|"110039195956"|"PIN OAKS TREATMENT PLANT"|"FM 726 SH 300 INTERSECTION"|"EAST MOUNTAIN"|"1334967"|"TX"|"75644"|32.628611|-99.853611|""
